"","75%","75%","75%"
"mean",0.640093006693873,0.34889232513363,0.39489496506325
"standard_deviation",1.47419537541156,0.759099094921555,0.928004442425922
"median",0.256118903054555,0.257008074804535,0.173475904765568
"third_quartile",0.726830555872233,0.257008074804535,0.286370216551401
"first_quartile",0.256118903054555,0.257008074804535,0.173475904765568
"mean",0.0672848116845819,0.0672848116845819,0.0672848116845819
"standard_deviation",0.0966311095098976,0.0766237805005281,0.102113392275392
"median",0.04210004952947,0.0453766259957648,0.044867585905012
"third_quartile",0.0760938490805327,0.0453766259957648,0.044867585905012
"first_quartile",0.04210004952947,0.0453766259957648,0.044867585905012
"mean",0.572808195009291,0.281607513449048,0.327610153378668
"standard_deviation",1.38651165814354,0.71259010159421,0.858124808533833
"median",0.214018853525085,0.21163144880877,0.128608318860556
"third_quartile",0.6507367067917,0.21163144880877,0.128608318860556
"first_quartile",0.214018853525085,0.21163144880877,0.128608318860556
